year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,12,MQ,Envoy Air,MSP,"Minneapolis, MN: Minneapolis-St Paul International",47.00,8.00,2.15,0.19,2.26,0.00,3.40,0.00,0.00,430.00,73.00,5.00,50.00,0.00,302.00
2024,12,MQ,Envoy Air,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",69.00,15.00,2.10,0.25,2.61,0.00,10.04,0.00,0.00,770.00,121.00,17.00,111.00,0.00,521.00
2024,12,MQ,Envoy Air,MYR,"Myrtle Beach, SC: Myrtle Beach International",15.00,1.00,0.00,0.10,0.43,0.00,0.47,1.00,0.00,51.00,0.00,5.00,22.00,0.00,24.00
2024,12,MQ,Envoy Air,OKC,"Oklahoma City, OK: Will Rogers World",131.00,15.00,3.78,1.67,4.17,0.00,5.37,4.00,0.00,790.00,198.00,116.00,191.00,0.00,285.00
2024,12,MQ,Envoy Air,OMA,"Omaha, NE: Eppley Airfield",56.00,12.00,2.45,2.09,4.83,0.00,2.62,0.00,0.00,633.00,124.00,59.00,143.00,0.00,307.00
2024,12,MQ,Envoy Air,ONT,"Ontario, CA: Ontario International",34.00,4.00,1.03,0.00,1.20,0.05,1.73,0.00,0.00,152.00,44.00,0.00,30.00,1.00,77.00
2024,12,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",2518.00,594.00,151.23,23.28,219.16,2.18,198.15,10.00,2.00,44858.00,15272.00,3736.00,8155.00,76.00,17619.00
2024,12,MQ,Envoy Air,ORF,"Norfolk, VA: Norfolk International",32.00,4.00,0.92,0.00,0.94,0.00,2.15,0.00,0.00,242.00,78.00,0.00,58.00,0.00,106.00
2024,12,MQ,Envoy Air,PDX,"Portland, OR: Portland International",10.00,2.00,0.03,0.00,1.92,0.00,0.06,0.00,0.00,60.00,1.00,0.00,57.00,0.00,2.00
2024,12,MQ,Envoy Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",965.00,111.00,29.27,9.63,21.87,0.99,49.24,3.00,0.00,10064.00,1718.00,2385.00,711.00,73.00,5177.00
2024,12,MQ,Envoy Air,PIA,"Peoria, IL: General Downing - Peoria International",73.00,16.00,2.58,2.99,3.28,0.00,7.14,0.00,0.00,1442.00,205.00,403.00,154.00,0.00,680.00
2024,12,MQ,Envoy Air,PIT,"Pittsburgh, PA: Pittsburgh International",69.00,12.00,5.24,0.33,4.82,0.00,1.60,0.00,0.00,419.00,211.00,8.00,132.00,0.00,68.00
2024,12,MQ,Envoy Air,PNS,"Pensacola, FL: Pensacola International",137.00,20.00,3.38,2.71,7.18,0.00,6.74,0.00,1.00,865.00,131.00,177.00,286.00,0.00,271.00
2024,12,MQ,Envoy Air,PVD,"Providence, RI: Rhode Island Tf Green International",19.00,4.00,1.00,1.55,1.45,0.00,0.00,0.00,0.00,162.00,18.00,85.00,59.00,0.00,0.00
2024,12,MQ,Envoy Air,RAP,"Rapid City, SD: Rapid City Regional",91.00,17.00,3.80,1.09,3.87,0.00,8.23,0.00,1.00,1479.00,140.00,99.00,186.00,0.00,1054.00
2024,12,MQ,Envoy Air,RDM,"Bend/Redmond, OR: Roberts Field",58.00,11.00,3.42,3.00,3.70,0.00,0.88,0.00,3.00,2093.00,76.00,1893.00,87.00,0.00,37.00
2024,12,MQ,Envoy Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",83.00,10.00,1.83,0.48,2.17,0.00,5.52,1.00,0.00,817.00,270.00,42.00,52.00,0.00,453.00
2024,12,MQ,Envoy Air,RIC,"Richmond, VA: Richmond International",15.00,6.00,0.49,0.20,2.26,0.00,3.04,0.00,0.00,144.00,13.00,4.00,61.00,0.00,66.00
2024,12,MQ,Envoy Air,RNO,"Reno, NV: Reno/Tahoe International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,12,MQ,Envoy Air,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",91.00,22.00,3.89,1.91,6.58,0.00,9.62,0.00,0.00,916.00,199.00,69.00,226.00,0.00,422.00
2024,12,MQ,Envoy Air,SAT,"San Antonio, TX: San Antonio International",32.00,11.00,4.70,0.10,1.07,0.00,5.13,1.00,0.00,591.00,248.00,11.00,47.00,0.00,285.00
2024,12,MQ,Envoy Air,SAV,"Savannah, GA: Savannah/Hilton Head International",132.00,23.00,8.64,1.00,3.86,1.00,8.50,1.00,3.00,1037.00,493.00,78.00,118.00,32.00,316.00
2024,12,MQ,Envoy Air,SBA,"Santa Barbara, CA: Santa Barbara Municipal",71.00,9.00,1.41,0.00,4.19,0.42,2.98,2.00,1.00,329.00,66.00,0.00,119.00,32.00,112.00
2024,12,MQ,Envoy Air,SBP,"San Luis Obispo, CA: San Luis County Regional",39.00,9.00,0.88,1.00,1.16,0.00,5.96,0.00,1.00,268.00,32.00,22.00,31.00,0.00,183.00
2024,12,MQ,Envoy Air,SDF,"Louisville, KY: Louisville Muhammad Ali International",89.00,19.00,4.83,1.81,3.87,0.00,8.50,0.00,0.00,1248.00,196.00,101.00,140.00,0.00,811.00
2024,12,MQ,Envoy Air,SGF,"Springfield, MO: Springfield-Branson National",337.00,67.00,18.68,3.80,13.30,0.40,30.83,3.00,2.00,4454.00,777.00,492.00,614.00,26.00,2545.00
2024,12,MQ,Envoy Air,SHV,"Shreveport, LA: Shreveport Regional",56.00,15.00,2.00,3.11,0.76,0.00,9.12,3.00,0.00,1794.00,78.00,878.00,76.00,0.00,762.00
2024,12,MQ,Envoy Air,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",35.00,6.00,1.86,0.00,1.35,0.10,2.69,0.00,0.00,254.00,50.00,0.00,41.00,2.00,161.00
2024,12,MQ,Envoy Air,SLC,"Salt Lake City, UT: Salt Lake City International",47.00,6.00,0.94,1.04,1.38,0.00,2.64,0.00,0.00,303.00,35.00,17.00,67.00,0.00,184.00
2024,12,MQ,Envoy Air,SMF,"Sacramento, CA: Sacramento International",35.00,2.00,1.22,0.00,0.78,0.00,0.00,0.00,0.00,85.00,58.00,0.00,27.00,0.00,0.00
2024,12,MQ,Envoy Air,SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",61.00,14.00,2.77,0.97,5.23,0.00,5.03,0.00,0.00,956.00,65.00,51.00,98.00,0.00,742.00
2024,12,MQ,Envoy Air,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",13.00,3.00,0.43,0.11,0.54,0.00,1.92,0.00,1.00,156.00,13.00,8.00,30.00,0.00,105.00
2024,12,MQ,Envoy Air,STL,"St. Louis, MO: St Louis Lambert International",90.00,16.00,5.00,0.88,5.96,0.00,4.17,1.00,0.00,879.00,320.00,22.00,190.00,0.00,347.00
2024,12,MQ,Envoy Air,STS,"Santa Rosa, CA: Charles M. Schulz - Sonoma County",47.00,7.00,0.52,0.00,4.52,0.00,1.96,0.00,1.00,229.00,28.00,0.00,132.00,0.00,69.00
2024,12,MQ,Envoy Air,SYR,"Syracuse, NY: Syracuse Hancock International",79.00,15.00,1.48,1.30,8.25,0.00,3.97,0.00,0.00,903.00,136.00,57.00,354.00,0.00,356.00
2024,12,MQ,Envoy Air,TLH,"Tallahassee, FL: Tallahassee International",173.00,31.00,9.53,1.42,8.28,0.00,11.77,1.00,0.00,1459.00,327.00,172.00,316.00,0.00,644.00
2024,12,MQ,Envoy Air,TPA,"Tampa, FL: Tampa International",131.00,28.00,6.96,0.60,8.13,0.00,12.31,0.00,2.00,1978.00,1213.00,29.00,238.00,0.00,498.00
2024,12,MQ,Envoy Air,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",14.00,2.00,0.33,0.00,0.10,0.00,1.57,0.00,0.00,37.00,7.00,0.00,2.00,0.00,28.00
2024,12,MQ,Envoy Air,TUL,"Tulsa, OK: Tulsa International",97.00,13.00,7.07,0.26,3.00,0.00,2.67,2.00,0.00,657.00,343.00,31.00,109.00,0.00,174.00
2024,12,MQ,Envoy Air,TUS,"Tucson, AZ: Tucson International",35.00,3.00,1.08,0.00,0.00,0.00,1.92,0.00,0.00,259.00,112.00,0.00,0.00,0.00,147.00
2024,12,MQ,Envoy Air,TVC,"Traverse City, MI: Cherry Capital",55.00,21.00,3.06,2.43,6.54,0.00,8.97,1.00,2.00,994.00,256.00,121.00,235.00,0.00,382.00
2024,12,MQ,Envoy Air,TYS,"Knoxville, TN: McGhee Tyson",70.00,18.00,5.71,0.32,6.68,0.00,5.30,0.00,1.00,856.00,396.00,8.00,205.00,0.00,247.00
2024,12,MQ,Envoy Air,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",93.00,23.00,6.25,2.25,5.36,0.00,9.13,0.00,2.00,2379.00,294.00,779.00,251.00,0.00,1055.00
2024,12,MQ,Envoy Air,XNA,"Fayetteville, AR: Northwest Arkansas National",504.00,92.00,21.69,7.18,21.55,0.00,41.58,3.00,4.00,6509.00,1817.00,1209.00,745.00,0.00,2738.00
2024,12,MQ,Envoy Air,YUM,"Yuma, AZ: Yuma MCAS/Yuma International",17.00,6.00,0.19,0.00,0.04,0.00,5.77,0.00,0.00,310.00,13.00,0.00,3.00,0.00,294.00
2024,12,NK,Spirit Airlines,ABQ,"Albuquerque, NM: Albuquerque International Sunport",21.00,3.00,0.03,0.00,2.97,0.00,0.00,0.00,0.00,176.00,3.00,0.00,173.00,0.00,0.00
2024,12,NK,Spirit Airlines,ACY,"Atlantic City, NJ: Atlantic City International",189.00,41.00,12.16,1.11,16.29,0.00,11.44,2.00,0.00,2625.00,962.00,99.00,953.00,0.00,611.00
2024,12,NK,Spirit Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",858.00,273.00,55.18,2.46,156.89,3.37,55.09,6.00,1.00,17094.00,3404.00,249.00,8590.00,173.00,4678.00
2024,12,NK,Spirit Airlines,AUS,"Austin, TX: Austin - Bergstrom International",94.00,20.00,4.36,0.00,10.60,0.00,5.05,0.00,0.00,1609.00,397.00,0.00,736.00,0.00,476.00
2024,12,NK,Spirit Airlines,BDL,"Hartford, CT: Bradley International",31.00,9.00,3.06,0.00,2.32,0.40,3.23,0.00,0.00,399.00,105.00,0.00,130.00,19.00,145.00
2024,12,NK,Spirit Airlines,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",25.00,6.00,2.82,0.00,2.42,0.00,0.76,0.00,0.00,254.00,126.00,0.00,106.00,0.00,22.00
2024,12,NK,Spirit Airlines,BNA,"Nashville, TN: Nashville International",187.00,40.00,11.81,0.08,19.87,0.63,7.62,2.00,0.00,2447.00,607.00,10.00,1208.00,25.00,597.00
2024,12,NK,Spirit Airlines,BOI,"Boise, ID: Boise Air Terminal",27.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,18.00,0.00,0.00,0.00,0.00
2024,12,NK,Spirit Airlines,BOS,"Boston, MA: Logan International",520.00,120.00,23.52,1.10,58.87,0.80,35.71,10.00,1.00,9460.00,2113.00,65.00,4150.00,20.00,3112.00
2024,12,NK,Spirit Airlines,BUR,"Burbank, CA: Bob Hope",152.00,25.00,5.23,1.00,8.61,0.00,10.16,0.00,1.00,1515.00,430.00,94.00,348.00,0.00,643.00
2024,12,NK,Spirit Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",481.00,102.00,38.61,1.40,19.14,1.10,41.74,1.00,0.00,6568.00,2438.00,41.00,956.00,21.00,3112.00
2024,12,NK,Spirit Airlines,CHS,"Charleston, SC: Charleston AFB/International",60.00,11.00,4.11,0.00,4.91,0.00,1.98,0.00,0.00,483.00,240.00,0.00,190.00,0.00,53.00
2024,12,NK,Spirit Airlines,CLE,"Cleveland, OH: Cleveland-Hopkins International",28.00,6.00,2.31,0.00,0.13,0.00,3.56,0.00,0.00,360.00,92.00,0.00,9.00,0.00,259.00
2024,12,NK,Spirit Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",345.00,77.00,22.90,0.05,23.37,0.48,30.18,1.00,0.00,3996.00,1332.00,2.00,1117.00,16.00,1529.00
2024,12,NK,Spirit Airlines,CMH,"Columbus, OH: John Glenn Columbus International",157.00,41.00,7.96,1.81,12.74,0.64,17.86,0.00,0.00,2242.00,333.00,42.00,422.00,14.00,1431.00
2024,12,NK,Spirit Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",772.00,198.00,39.50,0.90,106.02,0.10,51.48,3.00,6.00,15638.00,3593.00,70.00,7563.00,12.00,4400.00
2024,12,NK,Spirit Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",849.00,193.00,41.98,1.14,94.85,0.47,54.55,4.00,0.00,13158.00,3848.00,139.00,4940.00,15.00,4216.00
2024,12,NK,Spirit Airlines,EWR,"Newark, NJ: Newark Liberty International",864.00,236.00,42.45,4.52,154.36,0.69,33.97,9.00,3.00,16959.00,3467.00,446.00,10122.00,20.00,2904.00
2024,12,NK,Spirit Airlines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2067.00,519.00,139.63,9.25,219.26,6.99,143.86,5.00,1.00,35353.00,9941.00,754.00,12769.00,361.00,11528.00
2024,12,NK,Spirit Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",800.00,178.00,41.30,4.47,79.89,1.00,51.34,3.00,1.00,11829.00,3597.00,162.00,4098.00,29.00,3943.00
2024,12,NK,Spirit Airlines,IND,"Indianapolis, IN: Indianapolis International",182.00,42.00,13.08,0.13,12.09,0.00,16.70,1.00,0.00,2230.00,703.00,2.00,416.00,0.00,1109.00
2024,12,NK,Spirit Airlines,LAS,"Las Vegas, NV: Harry Reid International",1758.00,285.00,83.60,2.51,113.89,3.42,81.57,7.00,1.00,20950.00,6238.00,167.00,7145.00,102.00,7298.00
2024,12,NK,Spirit Airlines,LAX,"Los Angeles, CA: Los Angeles International",864.00,137.00,50.27,3.11,48.94,0.47,34.22,4.00,2.00,8949.00,2954.00,361.00,2718.00,61.00,2855.00
2024,12,NK,Spirit Airlines,LBE,"Latrobe, PA: Arnold Palmer Regional",31.00,2.00,0.33,0.00,1.07,0.00,0.60,1.00,0.00,34.00,5.00,0.00,20.00,0.00,9.00
2024,12,NK,Spirit Airlines,LGA,"New York, NY: LaGuardia",703.00,163.00,44.94,6.42,79.71,1.65,30.28,2.00,0.00,9989.00,2927.00,440.00,4416.00,48.00,2158.00
2024,12,NK,Spirit Airlines,MCI,"Kansas City, MO: Kansas City International",116.00,21.00,5.07,0.09,9.44,0.00,6.40,0.00,0.00,1334.00,361.00,9.00,703.00,0.00,261.00
2024,12,NK,Spirit Airlines,MCO,"Orlando, FL: Orlando International",1412.00,253.00,68.97,3.31,107.01,2.01,71.69,6.00,0.00,19540.00,5696.00,284.00,7351.00,192.00,6017.00
2024,12,NK,Spirit Airlines,MEM,"Memphis, TN: Memphis International",49.00,10.00,4.02,0.00,3.52,0.52,1.95,0.00,0.00,758.00,410.00,0.00,173.00,17.00,158.00
2024,12,NK,Spirit Airlines,MIA,"Miami, FL: Miami International",409.00,113.00,32.39,1.10,53.56,2.19,23.76,4.00,0.00,8173.00,2693.00,55.00,3475.00,103.00,1847.00
2024,12,NK,Spirit Airlines,MKE,"Milwaukee, WI: General Mitchell International",33.00,9.00,3.36,0.00,0.27,0.00,5.37,0.00,0.00,772.00,241.00,0.00,30.00,0.00,501.00
2024,12,NK,Spirit Airlines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",110.00,18.00,4.81,0.45,5.01,0.00,7.74,0.00,0.00,1050.00,400.00,28.00,176.00,0.00,446.00
2024,12,NK,Spirit Airlines,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",436.00,111.00,31.96,1.08,47.82,0.00,30.14,2.00,0.00,8627.00,2181.00,661.00,2857.00,0.00,2928.00
2024,12,NK,Spirit Airlines,MYR,"Myrtle Beach, SC: Myrtle Beach International",184.00,41.00,9.75,3.27,18.99,0.00,8.99,3.00,0.00,3152.00,692.00,374.00,1257.00,0.00,829.00
2024,12,NK,Spirit Airlines,OAK,"Oakland, CA: Metro Oakland International",210.00,33.00,9.61,0.00,12.15,0.00,11.24,1.00,0.00,2433.00,747.00,0.00,744.00,0.00,942.00
2024,12,NK,Spirit Airlines,ORD,"Chicago, IL: Chicago O'Hare International",630.00,144.00,34.48,1.35,52.79,1.51,53.86,3.00,0.00,8537.00,2000.00,21.00,2972.00,42.00,3502.00
2024,12,NK,Spirit Airlines,ORF,"Norfolk, VA: Norfolk International",52.00,16.00,2.43,0.00,5.65,0.00,7.92,0.00,1.00,801.00,98.00,0.00,279.00,0.00,424.00
2024,12,NK,Spirit Airlines,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",27.00,7.00,1.00,0.00,5.00,0.00,1.00,0.00,0.00,358.00,27.00,0.00,271.00,0.00,60.00
2024,12,NK,Spirit Airlines,PDX,"Portland, OR: Portland International",60.00,13.00,2.29,0.00,5.99,0.00,4.72,0.00,0.00,697.00,143.00,0.00,225.00,0.00,329.00
2024,12,NK,Spirit Airlines,PHL,"Philadelphia, PA: Philadelphia International",343.00,75.00,26.82,0.09,23.05,0.89,24.15,2.00,0.00,4955.00,1679.00,3.00,888.00,36.00,2349.00
2024,12,NK,Spirit Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",41.00,10.00,2.22,0.00,5.80,0.22,1.77,0.00,0.00,911.00,556.00,0.00,253.00,10.00,92.00
2024,12,NK,Spirit Airlines,PIT,"Pittsburgh, PA: Pittsburgh International",155.00,40.00,10.20,0.00,20.05,0.00,9.75,2.00,0.00,2175.00,371.00,0.00,969.00,0.00,835.00
